id,x,y
0e7l5s7rc7m31,-3.53,0.17
0e7wltxyzsl31,-3.5,0.17
0e9k7bv949m31,1.56,-3.02
0e9ov7ctx9m31,-3.57,0.19
0eac2q6sesl31,-3.51,0.17
0eb0yapb34m31,-3.58,0.15
0eb51doefsl31,-3.57,0.19
0ebl066n57m31,-17.21,-0.65
0ebslinu33m31,-0.1,-1.68
0ebv4cxy8ol31,-17.7,-0.13
0ec98oljf1m31,-18.03,-0.32
0ecl2n6i8ml31,-1.6,2.3
0edlb84dytl31,-3.56,0.19
0edtwtndg6m31,-16.85,-0.62
0ee1qcuxysl31,-3.56,0.19
0ee6mid1stl31,-3.54,0.18
0eeo5v46mdm31,-17.08,-1.24
0efdoekhlml31,3.9,-3.92
0egpx5ltrxl31,-3.54,0.18
0egr6y99k0m31,0.79,-3.01
0ej0dpmnwwl31,-3.55,0.2
0ejirc43ltl31,-17.06,-0.04
0el5zgv0nyl31,-3.54,0.18
0eldvhcbg0m31,-3.57,0.19
0emo2ejjawl31,-3.56,0.18
0emqznm0oml31,0.46,-1.61
0eoot87ittl31,-3.5,0.16
0eovee2u8xl31,-3.57,0.19
0eoyxjulf7m31,-3.51,0.21
0epe6sw09sl31,-16.93,-1.09
0ephls11nnl31,-3.54,0.18
0eq91snyvvl31,-3.55,0.19
0ereagvj4wl31,-3.56,0.19
0erturkzlfm31,-3.57,0.19
0esggiubrdm31,-17.8,-1.28
0etg7taubml31,-3.55,0.18
0etkkcl7bam31,-3.54,0.19
0euvcmaj9sl31,-2.11,2.23
0evftiy4hnl31,0.41,1.42
0evl5z1a9wl31,-3.57,0.19
0ewdcqcvyam31,-3.55,0.2
0ezt61085tl31,-17.06,-1.05
0ezvd8r08ul31,-3.54,0.2
0f0v39iv8cm31,-16.89,-0.67
0f16ucqr39m31,4.76,-2.11
0f1h47map0m31,-1.54,2.29
0f34l25rx0m31,-3.56,0.19
0f4g9q0qhwl31,-3.56,0.19
0f4u7mwmdsl31,-17.54,-0.1
0f4yhcxz3xl31,-3.49,0.23
0f55efx9fol31,-3.51,0.16
0f69peacnnl31,-17.55,-0.8
0f6fek825zl31,-0.22,-1.54
0f8469ytocm31,-0.48,-2.4
0f9nj6bdesl31,-3.53,0.22
0fcrb4zhv6m31,-0.26,2.5
0fdavkopeol31,-3.5,0.16
0ff1ldg1c7m31,-3.57,0.19
0ffug6xri9m31,-3.56,0.2
0fg8j8ljh7m31,-3.57,0.21
0fge9lexisl31,-3.47,0.25
0fgq4sutgtl31,-3.57,0.2
0fhph7z8ull31,1.23,-3.25
0fi6zsfu7yl31,-17.43,-1.32
0fj8wqetfsl31,0.43,-1.89
0fk2587g4em31,-18.16,-0.65
0fkt4u83bfm31,-3.57,0.19
0fl4q0wlryl31,-3.55,0.19
0fmgksm8r8m31,-3.55,0.2
0fmps9e9j3m31,-3.55,0.2
0fmsaqlu53m31,-3.49,0.16
0fn17nwd60m31,-0.78,-0.44
0fodsfb0qul31,-3.57,0.18
0foiejx34ul31,-3.51,0.2
0foyeyi2f0m31,-3.48,0.24
0fpbd47j31m31,-3.56,0.19
0fsdubod1sl31,-3.52,0.2
0fsmdph5msl31,0.11,-2.34
0fsu8sjk4sl31,-0.54,-2.38
0ft4nf23i9m31,-0.65,-2.41
0fu1d57y23m31,0.33,3.83
0fumh62a98m31,-3.55,0.19
0fxk2tlar9m31,-3.55,0.2
0g03v90n1sl31,-3.56,0.19
0g2esisau1m31,-1.8,2.05
0g3ha0h2fvl31,-16.65,-0.88
0g4delfe27m31,-3.57,0.19
0g5iw9phsdm31,-3.42,0.09
0g617nusznl31,0.09,-2.03
0g6uszynmsl31,-3.54,0.19
0g6y8c769cm31,-1.72,-2.98
0g73387ojcm31,-3.52,0.18
0g9er4c1j5m31,-3.51,0.17
0g9v7hg48em31,-3.56,0.19
0gb29dw4edm31,-3.48,0.15
0gb857jwlcm31,-3.57,0.19
0gb87wendyl31,-17.97,-0.87
0gb8y82h2fm31,-3.52,0.17
0gde45i1lvl31,-3.54,0.18
0gdo03gwdsl31,-3.46,0.14
0gevfi938wl31,-17.67,-1.32
0gg732khgnl31,-17.82,-1.26
0ggjybptfvl31,-3.56,0.19
0ggmgwoaesl31,-3.53,0.18
0ggs9cr9pfm31,-3.55,0.18
0gh0mpwgzml31,1.44,-3.22
0ghim6vgg9m31,-3.51,0.24
0ghtprn3w3m31,-1.53,2.29
0gi0ytsh43m31,-3.57,0.19
0gk0eapd8ml31,-17.27,-0.9
0gl0mtx7o4m31,2.1,-2.07
0gl395rgx2m31,-3.54,0.19
0gl9gdn113m31,-3.57,0.19
0gmilyamosl31,-3.57,0.19
0gnevoeve1m31,-3.57,0.19
